"ExpireTime","RaidId","AllyCode","Name","Score","Rank"
11/09/2023 17:35:51 +00:00,kraytdragon,678195521,XCAL,3562362,12
11/09/2023 17:35:51 +00:00,kraytdragon,197788324,Skaar,4358334,6
11/09/2023 17:35:51 +00:00,kraytdragon,443495965,Verage Valoor,3183591,17
11/09/2023 17:35:51 +00:00,kraytdragon,814134474,RoTahn Taske,3530391,13
11/09/2023 17:35:51 +00:00,kraytdragon,312333279,Excessive Fist,1200000,45
11/09/2023 17:35:51 +00:00,kraytdragon,834874213,BobbyMarshal,2379047,31
11/09/2023 17:35:51 +00:00,kraytdragon,381676275,Marl Jewel,1800000,37
11/09/2023 17:35:51 +00:00,kraytdragon,862389575,Enigma,5053106,1
11/09/2023 17:35:51 +00:00,kraytdragon,749275383,Dava,3402352,14
11/09/2023 17:35:51 +00:00,kraytdragon,585576166,Patrick4,2945286,24
11/09/2023 17:35:51 +00:00,kraytdragon,389689423,ArtVandalay,3006483,22
11/09/2023 17:35:51 +00:00,kraytdragon,454629175,Delara Exibil,4050000,9
11/09/2023 17:35:51 +00:00,kraytdragon,175993797,El Jefe,3014493,20
11/09/2023 17:35:51 +00:00,kraytdragon,118679749,manolis,2163782,34
11/09/2023 17:35:51 +00:00,kraytdragon,475136137,WharfRat,4646495,2
11/09/2023 17:35:51 +00:00,kraytdragon,394321369,Javin Fis,2487773,30
11/09/2023 17:35:51 +00:00,kraytdragon,255925733,Fidget92,300000,50
11/09/2023 17:35:51 +00:00,kraytdragon,214224828,JakeY,2843484,25
11/09/2023 17:35:51 +00:00,kraytdragon,452518631,Puck,2700000,28
11/09/2023 17:35:51 +00:00,kraytdragon,858966128,T,3118104,18
11/09/2023 17:35:51 +00:00,kraytdragon,299292257,G4reth,3243581,16
11/09/2023 17:35:51 +00:00,kraytdragon,964121997,DarthDax,4268213,7
11/09/2023 17:35:51 +00:00,kraytdragon,133674987,Tani Mayse,2329015,32
11/09/2023 17:35:51 +00:00,kraytdragon,124165769,Tyrian,1016615,48
11/09/2023 17:35:51 +00:00,kraytdragon,768488681,Tranced,4559781,4
11/09/2023 17:35:51 +00:00,kraytdragon,334861731,JediAhsoka,1236031,44
11/09/2023 17:35:51 +00:00,kraytdragon,938743519,Chikiller,1952310,35
11/09/2023 17:35:51 +00:00,kraytdragon,825371335,Nomad,4553188,5
11/09/2023 17:35:51 +00:00,kraytdragon,924462567,non7top,1552152,41
11/09/2023 17:35:51 +00:00,kraytdragon,396743814,Rhil Margos,2316017,33
11/09/2023 17:35:51 +00:00,kraytdragon,597271922,Scof,1684386,38
11/09/2023 17:35:51 +00:00,kraytdragon,132898449,Jay Maop,1200000,46
11/09/2023 17:35:51 +00:00,kraytdragon,643373276,Avatany,1028865,47
11/09/2023 17:35:51 +00:00,kraytdragon,336698836,Jonesmalones,3614961,11
