Sucess Rate,,52,19,22,23,24,24,23,35,38,40,36,36,34,40,43,,Guild members ,51,,Average Success Rate,0.8150943396
,Player,Reva Ready,TB 10,TB 11,TB 12,TB 13,TB 14,TB 15,TB 16,TB 17,TB18,TB19,TB 20,TB21,TB22,TB23,,,,,,
50%,ArtVandalay,yes,n/a,n/a,n/a,n/a,n/a,n/a,yes,no,yes,no,no,no,yes,yes,,,,,,
71.4285714285714%,Avatany,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,,,,,,
84.6153846153846%,Blattu,yes,?,no,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,,,,,,
50%,BobaChuck91,yes,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,no,no,yes,yes,yes,no,,,,,,
100%,BobbyMarshal,yes,n/a,n/a,n/a,n/a,n/a,n/a,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,
64.2857142857143%,Chikiller,yes,yes,no,no,yes,yes,yes,no,yes,yes,yes,yes,no,no,yes,,,,,,
100%,Dârth Jungle Asian,yes,n/a,n/a,n/a,n/a,n/a,n/a,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,
84.6153846153846%,DarthDax,yes,?,no,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,
50%,Darthsyn,yes,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,yes,no,no,yes,n/a,,,,,,
100%,Delara Exibil,yes,n/a,n/a,n/a,n/a,n/a,n/a,n/a,yes,yes,yes,yes,yes,yes,yes,,,,,,
70%,El Jefe,yes,n/a,n/a,n/a,n/a,no,yes,yes,yes,yes,yes,no,yes,no,yes,,,,,,
61.5384615384615%,Enigma,yes,yes,no,yes,no,yes,yes,yes,no,yes,no,n/a,no,yes,yes,,,,,,
N/A,Excessive Fist,no,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,
64.2857142857143%,Fidget92,yes,yes,yes,no,yes,yes,no,no,no,yes,no,yes,yes,yes,yes,,,,,,
