Name,Total Territory Points,Platoon Units,Combat Waves,Rogue Actions,P1 Deployed,P1 Territory Points,P1 Deployed GP,P1 Combat Attempts,P1 Special Attempts,P1 Waves,P2 Deployed,P2 Territory Points,P2 Deployed GP,P2 Combat Attempts,P2 Special Attempts,P2 Waves,P3 Deployed,P3 Territory Points,P3 Deployed GP,P3 Combat Attempts,P3 Special Attempts,P3 Waves,P4 Deployed,P4 Territory Points,P4 Deployed GP,P4 Combat Attempts,P4 Special Attempts,P4 Waves,P5 Deployed,P5 Territory Points,P5 Deployed GP,P5 Combat Attempts,P5 Special Attempts,P5 Waves,P6 Deployed,P6 Territory Points,P6 Deployed GP,P6 Combat Attempts,P6 Special Attempts,P6 Waves
XCAL,67381047,17,75,1,Yes,11172393,8672393,11,0,19,Yes,11023514,8673514,11,0,14,Yes,10947333,8673583,11,0,9,Yes,12085398,8672898,10,0,14,Yes,10704148,8672898,8,0,9,Yes,11448261,8724354,6,0,10
Magnafael,68462700,21,66,0,Yes,11370196,8970196,12,0,18,Yes,10795196,8970196,8,0,10,Yes,11585196,8970196,11,0,11,Yes,12209827,8976077,8,1,13,Yes,11830098,8974160,9,0,9,Yes,10672187,9002499,6,0,5
Avatany,56485289,6,29,1,Yes,9953706,8653706,8,0,10,Yes,9205207,8655207,5,0,5,Yes,9157848,8657848,4,0,4,Yes,9844160,8657910,4,0,4,Yes,9162184,8658434,3,0,3,Yes,9162184,8658434,3,0,3
Tyrian,41316144,19,31,1,Yes,7913676,7213676,7,0,7,Yes,7943009,7218009,8,0,6,Yes,7935631,7219381,6,0,5,No,2028723,842473,4,0,7,Yes,7889555,7223305,4,0,4,Yes,7605550,7223675,2,0,2
Username,58893331,3,51,3,No,6745478,4645478,11,0,15,Yes,10029190,8704190,5,0,5,Yes,11102940,8704190,9,0,9,Yes,10918987,8708987,9,0,10,Yes,10791491,8743991,8,0,9,Yes,9305245,8744620,4,0,3
Yosh,53484835,2,29,0,Yes,9971815,8171815,9,0,12,Yes,8524326,8174326,8,0,3,Yes,8765774,8174524,7,0,4,Yes,8849212,8182962,4,0,4,Yes,8849354,8183104,5,0,4,Yes,8524354,8183104,4,0,2
Tani Mayse,55838156,5,38,0,Yes,10246077,8246077,10,0,14,Yes,8999033,8249033,10,0,3,Yes,9563623,8256123,11,0,8,Yes,9602108,8269608,8,0,8,Yes,8953208,8286958,6,0,4,Yes,8474107,8311607,5,0,1
OwningXylophone,55757589,10,30,0,Yes,9959541,8559541,9,0,11,Yes,9066143,8566143,9,0,4,Yes,9532393,8566143,9,0,6,Yes,9575628,8568128,5,1,6,Yes,8892661,8567661,6,0,2,Yes,8731223,8568723,5,0,1
BobbyMarshal,52988893,6,43,0,Yes,8777646,7277646,9,0,12,Yes,8428701,7278701,8,0,7,Yes,8813074,7289324,7,0,6,Yes,9340396,7292896,5,0,9,Yes,8974171,7141983,4,0,6,Yes,8654905,7326467,3,0,3
Excessive Fist,57475676,8,38,0,Yes,9609262,7909262,7,0,11,Yes,8984262,7909262,6,0,6,Yes,9217269,7909769,7,0,5,Yes,10298519,7909769,5,0,8,Yes,10425331,7910643,5,0,7,Yes,8941033,7953845,2,0,1
Blattu,66327454,8,74,0,Yes,11032682,8632682,11,0,18,Yes,10826174,8651174,11,0,13,Yes,11463942,8652692,11,0,12,Yes,12229391,8654391,9,1,15,Yes,10562104,8693354,8,0,8,Yes,10213161,8695817,6,0,8
Jonesmalones,69736902,40,83,1,No,5105840,2805840,11,0,17,Yes,12291710,10316710,10,0,14,Yes,13182048,10317048,11,1,15,Yes,13265165,10372665,8,0,14,Yes,12518032,10318188,8,0,12,Yes,13374107,10375981,6,0,11
Javin Fis,61085837,9,62,0,Yes,11022115,8622115,11,0,18,Yes,10072636,8622636,11,0,13,Yes,9963886,8622636,8,0,8,Yes,10151654,8624154,7,0,9,Yes,10032226,8626601,6,0,8,Yes,9843320,8626601,6,0,6
Taco Hat,52321046,5,22,0,Yes,9164519,8164519,8,0,7,Yes,8667610,8167610,8,0,4,Yes,8634247,8167997,8,0,3,Yes,9013570,8168570,4,0,5,Yes,8672320,8168570,5,0,3,Yes,8168780,8168780,2,0,0
Hego Damask,65384202,20,70,0,Yes,11498549,8998549,11,0,19,Yes,10602693,9002693,12,0,11,Yes,10667508,9018758,12,0,10,Yes,12067813,9012813,9,0,15,Yes,10356254,9007504,8,0,8,Yes,10191385,8948260,7,0,7
Scof,50966920,17,27,0,Yes,9064479,7364479,8,0,11,Yes,8814479,7364479,4,0,6,Yes,8796979,7364479,4,0,3,Yes,8388229,7364479,3,0,3,Yes,8371979,7364479,6,0,3,Yes,7530775,7368275,2,0,1
Ravened Stormchaser,55018652,5,34,0,Yes,9174965,8274965,6,0,6,Yes,9125608,8275608,10,0,8,Yes,9153752,8278752,10,0,5,Yes,9126332,8281332,6,0,5,Yes,9310776,8287026,5,0,6,Yes,9127219,8292375,6,0,4
Rhil Margos,59245293,19,44,0,Yes,10610206,8510206,10,0,15,Yes,9743160,8543160,10,0,7,Yes,10544050,8554050,10,0,9,Yes,10407742,8555242,7,0,8,Yes,9384330,8555580,6,0,5,Yes,8555805,8555805,4,0,0
RoTahn Taske,67856530,11,49,1,Yes,11542838,9542838,12,0,14,Yes,11374627,9549627,11,0,10,Yes,10732623,9550123,11,0,3,Yes,11922774,9550274,10,0,11,Yes,11241357,9551357,8,0,7,Yes,11042311,9551373,6,0,4
MINI DarthAzazel,64771601,17,58,0,Yes,11220961,9120961,10,0,15,Yes,10245961,9120961,9,0,10,Yes,11215961,9120961,10,0,10,Yes,10648714,9121214,7,1,6,Yes,10744254,9176129,8,0,9,Yes,10695750,9178406,6,0,8
