"ExpireTime","RaidId","AllyCode","Name","Score","Rank"
"11/15/2023 17:37:18 +00:00","kraytdragon",133674987,"Tani Mayse",2344665,33
"11/15/2023 17:37:18 +00:00","kraytdragon",175993797,"El Jefe",3056923,21
"11/15/2023 17:37:18 +00:00","kraytdragon",312333279,"Excessive Fist",2672223,27
"11/15/2023 17:37:18 +00:00","kraytdragon",443495965,"Verage Valoor",3265199,15
"11/15/2023 17:37:18 +00:00","kraytdragon",597271922,"Scof",1457022,42
"11/15/2023 17:37:18 +00:00","kraytdragon",749275383,"Dava",3136789,19
"11/15/2023 17:37:18 +00:00","kraytdragon",336698836,"Jonesmalones",2431827,30
"11/15/2023 17:37:18 +00:00","kraytdragon",381676275,"Marl Jewel",2700000,26
"11/15/2023 17:37:18 +00:00","kraytdragon",964121997,"DarthDax",2309400,35
"11/15/2023 17:37:18 +00:00","kraytdragon",197788324,"Skaar",4301103,8
"11/15/2023 17:37:18 +00:00","kraytdragon",768488681,"Tranced",4419129,5
"11/15/2023 17:37:18 +00:00","kraytdragon",625367959,"Blattu",4236255,9
"11/15/2023 17:37:18 +00:00","kraytdragon",858966128,"T",3180100,17
"11/15/2023 17:37:18 +00:00","kraytdragon",678195521,"XCAL",3541719,12
"11/15/2023 17:37:18 +00:00","kraytdragon",585576166,"Patrick4",1146736,47
"11/15/2023 17:37:18 +00:00","kraytdragon",556839255,"Jeeves",3210117,16
"11/15/2023 17:37:18 +00:00","kraytdragon",389689423,"ArtVandalay",3301150,14
"11/15/2023 17:37:18 +00:00","kraytdragon",452518631,"Puck",3144208,18
"11/15/2023 17:37:18 +00:00","kraytdragon",814134474,"RoTahn Taske",3111609,20
"11/15/2023 17:37:18 +00:00","kraytdragon",834874213,"BobbyMarshal",2476817,28
"11/15/2023 17:37:18 +00:00","kraytdragon",478966819,"Lambert",2980337,22
"11/15/2023 17:37:18 +00:00","kraytdragon",132898449,"Jay Maop",1200000,45
"11/15/2023 17:37:18 +00:00","kraytdragon",299292257,"G4reth",3319447,13
"11/15/2023 17:37:18 +00:00","kraytdragon",124165769,"Tyrian",1522127,41
"11/15/2023 17:37:18 +00:00","kraytdragon",793549187,"Dârth Jungle Asian",2409447,31
"11/15/2023 17:37:18 +00:00","kraytdragon",214224828,"JakeY",2733665,25
"11/15/2023 17:37:18 +00:00","kraytdragon",475136137,"WharfRat",4369156,7
"11/15/2023 17:37:18 +00:00","kraytdragon",346854538,"Tyron Brandt",5969190,1
"11/15/2023 17:37:18 +00:00","kraytdragon",371731743,"Trask droll",5100432,3
"11/15/2023 17:37:18 +00:00","kraytdragon",938743519,"Chikiller",2772034,24
"11/15/2023 17:37:18 +00:00","kraytdragon",825371335,"Nomad",4433795,4
"11/15/2023 17:37:18 +00:00","kraytdragon",394321369,"Javin Fis",2476530,29
"11/15/2023 17:37:18 +00:00","kraytdragon",255925733,"Fidget92",1176084,46
"11/15/2023 17:37:18 +00:00","kraytdragon",492564869,"OwningXylophone",3796407,11
"11/15/2023 17:37:18 +00:00","kraytdragon",471792187,"Geralt of Rivia",974601,48
"11/15/2023 17:37:18 +00:00","kraytdragon",118679749,"manolis",1623522,40
"11/15/2023 17:37:18 +00:00","kraytdragon",334861731,"JediAhsoka",0,50
"11/15/2023 17:37:18 +00:00","kraytdragon",446172192,"Q Ryker",2375972,32
"11/15/2023 17:37:18 +00:00","kraytdragon",754294299,"Darthsyn",0,49
"11/15/2023 17:37:18 +00:00","kraytdragon",862389575,"Enigma",5244655,2
"11/15/2023 17:37:18 +00:00","kraytdragon",454629175,"Delara Exibil",3898524,10
"11/15/2023 17:37:18 +00:00","kraytdragon",452238138,"Yosh",1349602,44
"11/15/2023 17:37:18 +00:00","kraytdragon",643373276,"Avatany",1371333,43
"11/15/2023 17:37:18 +00:00","kraytdragon",924462567,"non7top",2072995,36
"11/15/2023 17:37:18 +00:00","kraytdragon",729916753,"Squanchy420",1650000,39
"11/15/2023 17:37:18 +00:00","kraytdragon",396743814,"Rhil Margos",2329298,34
"11/15/2023 17:37:18 +00:00","kraytdragon",312478199,"Taco Hat",1753717,38
"11/15/2023 17:37:18 +00:00","kraytdragon",855527258,"BobaChuck91",1957682,37
"11/15/2023 17:37:18 +00:00","kraytdragon",685711659,"MINI DarthAzazel",4384201,6
"11/15/2023 17:37:18 +00:00","kraytdragon",256121811,"JHang",2843801,23
