Sucess Rate,,,,52,8,9,10,10,14,12,20,19,13,19,17,Guild members ,50,,Average Success Rate,0.627615063
,Player,Total Success,Total Attempts,Reva Ready,TB 1,TB 2,TB 3,TB 4,TB 5,TB 6,TB 7,TB 8,TB 9,TB 10,TB 11,,,,,
100%,s0da p0pinski,11,11,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,
100%,Zazztrain,11,11,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,
91%,MINI Mace Dymon,10,11,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,
91%,MINIxur'kthan,10,11,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,
90%,Mega Kicagemon,9,10,yes,no,yes,yes,yes,yes,yes,yes,yes,n/a,yes,yes,,,,,
64%,ItzBerndern,7,11,yes,no,no,yes,yes,yes,yes,yes,yes,no,yes,no,,,,,
64%,OhMyPretzel,7,11,yes,yes,no,no,yes,yes,yes,yes,no,yes,yes,no,,,,,
73%,pablomash,8,11,yes,no,no,yes,yes,yes,yes,yes,yes,yes,no,yes,,,,,
64%,Daggo,7,11,yes,yes,no,no,yes,yes,yes,yes,yes,no,no,yes,,,,,
64%,Philadelphia Co,7,11,yes,no,yes,yes,no,yes,yes,yes,no,no,yes,yes,,,,,
70%,Salvare,7,10,yes,yes,no,n/a,yes,yes,yes,yes,no,no,yes,yes,,,,,
45%,SithKebab,5,11,yes,no,yes,no,no,no,yes,yes,yes,no,yes,no,,,,,
60%,Bobandy,6,10,no,no,yes,yes,n/a,no,no,yes,yes,no,yes,yes,,,,,
45%,N7 Tesla,5,11,yes,no,no,yes,no,no,no,yes,yes,yes,no,yes,,,,,
50%,rockoffanddie,5,10,yes,yes,no,no,n/a,no,no,yes,yes,yes,no,yes,,,,,
63%,Wabba Dejabba,5,8,yes,yes,n/a,n/a,n/a,no,no,yes,yes,no,yes,yes,,,,,
57%,Trate Daxson,4,7,yes,n/a,n/a,n/a,no,yes,n/a,yes,yes,no,yes,no,,,,,
100%,8,5,5,yes,n/a,n/a,n/a,n/a,n/a,n/a,yes,yes,yes,yes,yes,,,,,
33%,Rensalaer,3,9,yes,no,n/a,no,n/a,no,no,no,yes,yes,yes,no,,,,,
