Name,Total Territory Points,Platoon Units,Combat Waves,Rogue Actions,P1 Deployed,P1 Territory Points,P1 Deployed GP,P1 Combat Attempts,P1 Special Attempts,P1 Waves,P2 Deployed,P2 Territory Points,P2 Deployed GP,P2 Combat Attempts,P2 Special Attempts,P2 Waves,P3 Deployed,P3 Territory Points,P3 Deployed GP,P3 Combat Attempts,P3 Special Attempts,P3 Waves,P4 Deployed,P4 Territory Points,P4 Deployed GP,P4 Combat Attempts,P4 Special Attempts,P4 Waves,P5 Deployed,P5 Territory Points,P5 Deployed GP,P5 Combat Attempts,P5 Special Attempts,P5 Waves,P6 Deployed,P6 Territory Points,P6 Deployed GP,P6 Combat Attempts,P6 Special Attempts,P6 Waves
Mugami Chinzano,52269747,21,0,0,Yes,8706775,8706775,0,0,0,Yes,8708577,8708577,0,0,0,Yes,8708577,8708577,0,0,0,Yes,8714368,8714368,0,0,0,Yes,8714368,8714368,0,0,0,Yes,8717082,8717082,0,0,0
DocWho619,50841357,17,5,0,Yes,8678040,8378040,2,0,3,Yes,8628040,8378040,1,0,2,Yes,8378109,8378109,0,0,0,Yes,8378132,8378132,0,0,0,Yes,8381333,8381333,0,0,0,Yes,8397703,8397703,0,0,0
Rensalaer,48964749,3,13,0,Yes,8839843,7939843,5,0,9,Yes,8341157,7941157,2,0,4,Yes,7942142,7942142,0,1,0,Yes,7947191,7947191,0,0,0,Yes,7947208,7947208,0,0,0,Yes,7947208,7947208,0,0,0
Daggo,55507846,14,26,0,Yes,9912299,8612299,7,0,10,Yes,9912299,8612299,6,0,8,Yes,8612299,8612299,0,0,0,Yes,8854483,8604483,1,1,2,Yes,9270733,8604483,3,0,4,Yes,8945733,8604483,2,0,2
Falen Lacer,42732833,8,23,0,Yes,8525952,7925952,5,0,6,Yes,8478989,7928989,6,0,5,Yes,8523691,7932441,3,0,4,Yes,8523691,7932441,5,0,4,No,65569,65569,0,0,0,Yes,8614941,7932441,3,0,4
MINIxurkthan,56762926,10,36,0,Yes,10084800,8084800,9,0,14,Yes,9924576,8074576,7,0,10,Yes,9763184,8080684,5,0,4,Yes,8488232,8075732,4,1,2,Yes,9100095,8076345,3,0,3,Yes,9402039,8073601,3,0,3
Skcampy,56229112,15,12,0,Yes,9614944,9114944,3,0,5,Yes,9314944,9114944,2,0,2,Yes,9116006,9116006,1,0,0,Yes,9616006,9116006,3,0,3,Yes,9443501,9118501,2,0,2,Yes,9123711,9123711,2,0,0
DonKeyHoeTae,41821544,16,16,0,No,760486,360486,2,0,4,Yes,8666855,7666855,4,0,5,Yes,9378149,7671899,5,0,7,Yes,7672018,7672018,0,0,0,Yes,7672018,7672018,0,0,0,Yes,7672018,7672018,0,0,0
OhMyPretzel,44180372,10,24,0,Yes,7873719,6873719,6,0,10,Yes,7677695,6877695,4,0,8,Yes,7634427,6884427,3,0,4,Yes,6884427,6884427,0,1,0,Yes,7225677,6884427,1,0,2,Yes,6884427,6884427,0,0,0
Reaper1010,46308439,2,32,0,Yes,9642170,8442170,7,0,12,Yes,9204018,8454018,8,0,7,Yes,9545676,8454426,6,0,7,Yes,9296510,8455260,4,0,5,Yes,8620065,8457565,3,0,1,No,0,0,0,0,0
pablomash,43198288,0,2,0,No,366228,166228,1,0,2,Yes,8566412,8566412,0,0,0,Yes,8566412,8566412,0,1,0,Yes,8566412,8566412,0,0,0,Yes,8566412,8566412,0,0,0,Yes,8566412,8566412,0,0,0
Ransom23,57300790,0,38,0,Yes,9909680,8709680,6,0,12,Yes,9484680,8709680,4,0,7,Yes,9720237,8720237,4,0,7,Yes,9562401,8721151,3,0,5,Yes,9393146,8726896,3,0,4,Yes,9230646,8726896,2,0,3
Salvare,45259290,15,9,0,Yes,8835416,8635416,1,0,2,Yes,9035416,8635416,3,0,4,Yes,10068464,8635964,3,0,3,No,0,0,0,0,0,Yes,8641797,8641797,0,0,0,Yes,8678197,8678197,1,0,0
Zazztrain,60610812,28,57,0,Yes,9854561,8154561,7,0,11,Yes,10154561,8154561,7,0,12,Yes,10429952,8156202,9,1,9,Yes,10144820,8154820,7,0,8,Yes,10695959,8154865,7,0,11,Yes,9330959,8154865,5,0,6
ItzBerndern,73199318,31,73,0,Yes,12375006,9875006,12,1,19,Yes,12711173,9886173,13,0,18,Yes,12160655,9886905,9,1,12,Yes,11660271,9886521,5,0,7,Yes,11921302,9890052,6,0,9,Yes,12370911,9892785,5,0,8
Cmac,34401445,0,4,0,Yes,8411690,8411690,0,0,0,Yes,8437761,8437761,0,0,0,Yes,8944736,8444736,2,0,3,No,0,0,0,0,0,Yes,8607258,8444758,1,0,1,No,0,0,0,0,0
Aceth,44160458,14,9,0,Yes,7695279,7195279,4,0,5,Yes,7600351,7200351,4,0,4,Yes,7208545,7208545,2,0,0,Yes,7218655,7218655,0,0,0,Yes,7218655,7218655,0,0,0,Yes,7218973,7218973,0,0,0
Trate Daxson,48132180,5,4,0,Yes,8350260,7950260,3,0,4,Yes,7950260,7950260,2,0,0,Yes,7950260,7950260,1,0,0,Yes,7951140,7951140,0,0,0,Yes,7965085,7965085,0,0,0,Yes,7965175,7965175,0,0,0
Excelsior 101,42576222,0,2,0,Yes,7056870,7056870,0,0,0,Yes,7257932,7057932,1,0,2,Yes,7061309,7061309,0,0,0,Yes,7063712,7063712,0,0,0,Yes,7066488,7066488,0,0,0,Yes,7069911,7069911,0,0,0
FateHydro,49529622,40,28,0,Yes,8638855,7638855,8,0,10,Yes,8192837,7642837,6,0,5,Yes,8029667,7654667,4,0,3,Yes,8498453,7657203,4,0,5,Yes,8161845,7658095,3,0,3,Yes,8007965,7666715,2,0,2
