Sucess Rate,,50,19,22,23,24,24,23,35,38,40,36,36,34,40,,Guild members ,50,,Average Success Rate,0.8070539419
,Player,Reva Ready,TB 10,TB 11,TB 12,TB 13,TB 14,TB 15,TB 16,TB 17,TB18,TB19,TB 20,TB21,TB22,,,,,,
42.8571428571429%,ArtVandalay,yes,n/a,n/a,n/a,n/a,n/a,n/a,yes,no,yes,no,no,no,yes,,,,,,
76.9230769230769%,Avatany,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,,,,,,
83.3333333333333%,Blattu,yes,?,no,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,,,,,,
60%,BobaChuck91,yes,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,no,no,yes,yes,yes,,,,,,
100%,BobbyMarshal,yes,n/a,n/a,n/a,n/a,n/a,n/a,yes,yes,yes,yes,yes,yes,yes,,,,,,
61.5384615384615%,Chikiller,yes,yes,no,no,yes,yes,yes,no,yes,yes,yes,yes,no,no,,,,,,
100%,Dârth Jungle Asian,yes,n/a,n/a,n/a,n/a,n/a,n/a,yes,yes,yes,yes,yes,yes,yes,,,,,,
83.3333333333333%,DarthDax,yes,?,no,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,,,,,,
50%,Darthsyn,yes,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,yes,no,no,yes,,,,,,
100%,Delara Exibil,yes,n/a,n/a,n/a,n/a,n/a,n/a,n/a,yes,yes,yes,yes,yes,yes,,,,,,
66.6666666666667%,El Jefe,yes,n/a,n/a,n/a,n/a,no,yes,yes,yes,yes,yes,no,yes,no,,,,,,
58.3333333333333%,Enigma,yes,yes,no,yes,no,yes,yes,yes,no,yes,no,n/a,no,yes,,,,,,
N/A,Excessive Fist,no,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,
61.5384615384615%,Fidget92,yes,yes,yes,no,yes,yes,no,no,no,yes,no,yes,yes,yes,,,,,,
85.7142857142857%,G4reth,yes,n/a,n/a,n/a,n/a,n/a,n/a,yes,yes,yes,yes,yes,yes,no,,,,,,
66.6666666666667%,Geralt of Rivia,yes,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,yes,no,yes,,,,,,
100%,Javin Fis,yes,?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,
100%,JakeY,yes,n/a,n/a,n/a,n/a,n/a,n/a,yes,yes,yes,yes,yes,yes,yes,,,,,,
100%,JediAhsoka,yes,n/a,n/a,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,
75%,Jeeves,yes,?,yes,no,yes,yes,no,yes,yes,yes,no,yes,yes,yes,,,,,,
76.9230769230769%,JHang,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,,,,,,
76.9230769230769%,Jonesmalones,yes,yes,yes,yes,yes,yes,no,yes,yes,no,yes,yes,no,yes,,,,,,
33.3333333333333%,Kirath Tyria,yes,n/a,n/a,n/a,no,no,n/a,n/a,n/a,n/a,n/a,n/a,n/a,yes,,,,,,
75%,Lambert,yes,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,yes,yes,yes,no,,,,,,
76.9230769230769%,Marl Jewel,yes,no,yes,no,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,,,,,,
