Name,Total Territory Points,Platoon Units,Combat Waves,Rogue Actions,P1 Deployed,P1 Territory Points,P1 Deployed GP,P1 Combat Attempts,P1 Special Attempts,P1 Waves,P2 Deployed,P2 Territory Points,P2 Deployed GP,P2 Combat Attempts,P2 Special Attempts,P2 Waves,P3 Deployed,P3 Territory Points,P3 Deployed GP,P3 Combat Attempts,P3 Special Attempts,P3 Waves,P4 Deployed,P4 Territory Points,P4 Deployed GP,P4 Combat Attempts,P4 Special Attempts,P4 Waves,P5 Deployed,P5 Territory Points,P5 Deployed GP,P5 Combat Attempts,P5 Special Attempts,P5 Waves,P6 Deployed,P6 Territory Points,P6 Deployed GP,P6 Combat Attempts,P6 Special Attempts,P6 Waves
Puck,72359221,32,65,0,Yes,12083007,9483007,12,0,20,Yes,11910445,9485445,12,0,12,Yes,11490783,9487033,11,0,10,Yes,12547693,9492693,8,1,12,Yes,12633881,9499661,8,0,8,Yes,11693412,9499661,4,0,3
RoTahn Taske,73773617,8,65,1,Yes,12426918,9926918,13,0,19,Yes,11778856,9928856,13,0,13,Yes,12686863,9929363,11,0,12,Yes,12994675,9939675,8,1,12,Yes,11958880,9947942,7,0,7,Yes,11927425,9953049,4,0,2
Delara Exibil,73742235,41,76,0,Yes,11756573,9356573,10,0,18,Yes,11955480,9355480,10,0,16,Yes,12470480,9355480,9,0,14,Yes,12432423,9361173,8,0,12,Yes,13074311,9363216,7,0,11,Yes,12052968,9365623,4,0,5
Tranced,75892237,49,92,0,Yes,11952702,9352702,12,0,20,Yes,11907873,9357873,12,0,19,Yes,12349215,9359215,10,0,13,Yes,12783211,9370711,8,1,14,Yes,13357959,9372645,9,0,15,Yes,13541277,9373150,7,0,11
WharfRat,63361746,14,53,0,Yes,10619514,8819514,11,0,15,Yes,10670625,8820625,11,0,13,Yes,10825542,8821792,8,0,10,Yes,10697428,8828678,5,1,8,Yes,10499188,8829500,6,0,5,Yes,10049449,8842886,4,0,2
Verage Valoor,60474194,32,37,0,Yes,10528779,8928779,10,0,13,Yes,9809948,8934948,8,0,8,Yes,10103375,8940875,6,0,7,Yes,9457200,8953450,2,1,3,Yes,10625167,8955479,4,0,5,Yes,9949725,8962537,2,0,1
Avatany,61536657,12,33,0,Yes,11111867,9111867,9,0,14,Yes,10316856,9091856,8,0,11,Yes,9091856,9091856,0,0,0,Yes,10114885,9107385,3,1,3,Yes,10312917,9106354,4,0,2,Yes,10588276,9107494,4,0,3
Skaar,67339326,61,82,11,Yes,11763603,8763603,12,0,21,No,7982187,5682187,11,0,17,Yes,11627297,8762297,8,0,12,Yes,10816755,8769255,6,1,9,Yes,12423471,8779407,8,0,13,Yes,12726013,8777261,6,0,10
Enigma,74996816,11,77,0,Yes,12433061,10033061,12,0,18,Yes,12459821,10034821,13,0,18,Yes,12417739,10038989,10,0,13,Yes,12589373,10038123,7,1,12,Yes,12584512,10039355,7,0,9,Yes,12512310,10044340,5,0,7
JediAhsoka,52620156,20,32,0,Yes,8961202,7561202,6,0,11,Yes,8265953,7565953,3,0,6,Yes,8334987,7581237,3,0,4,Yes,8948135,7583135,4,0,5,Yes,7991711,7650461,3,0,2,Yes,10118168,7650198,3,0,4
