"Name","Total Territory Points","Platoon Units","Combat Waves","Rogue Actions","P1 Deployed","P1 Territory Points","P1 Deployed GP","P1 Combat Attempts","P1 Special Attempts","P1 Waves","P2 Deployed","P2 Territory Points","P2 Deployed GP","P2 Combat Attempts","P2 Special Attempts","P2 Waves","P3 Deployed","P3 Territory Points","P3 Deployed GP","P3 Combat Attempts","P3 Special Attempts","P3 Waves","P4 Deployed","P4 Territory Points","P4 Deployed GP","P4 Combat Attempts","P4 Special Attempts","P4 Waves","P5 Deployed","P5 Territory Points","P5 Deployed GP","P5 Combat Attempts","P5 Special Attempts","P5 Waves","P6 Deployed","P6 Territory Points","P6 Deployed GP","P6 Combat Attempts","P6 Special Attempts","P6 Waves"
"Q Ryker",68212806,19,43,1,"Yes",11015087,9315087,7,0,11,"Yes",11323046,9323046,7,0,9,"Yes",11091801,9314301,6,1,8,"Yes",11712433,9323683,7,0,11,"Yes",11303567,9329191,2,0,2,"Yes",11766872,9336196,2,0,2
"manolis",61780095,6,41,1,"Yes",12362364,9862364,11,0,16,"Yes",11362364,9862364,9,0,8,"No",4519207,2507957,10,1,9,"Yes",11527502,10000002,4,0,6,"Yes",11002464,10015276,4,0,1,"Yes",11006194,10019006,1,0,1
"Dava",68282573,66,47,1,"Yes",11888163,9488163,12,0,18,"Yes",11363762,9488762,10,0,10,"Yes",11088581,9493581,7,1,9,"Yes",10958041,9771791,6,0,7,"Yes",10766297,9779109,3,0,1,"Yes",12217729,9787053,3,0,2
"XCAL",82850098,30,87,0,"Yes",13146457,10046457,13,0,22,"Yes",13046457,10046457,11,0,16,"Yes",13250485,10452985,10,1,13,"Yes",14362768,10509486,11,0,17,"Yes",14677613,10509486,7,0,11,"Yes",14366318,10509704,6,0,8
"Kirath Tyria",70420111,16,43,0,"Yes",11372880,9972880,6,0,11,"Yes",11724120,9974120,10,0,9,"Yes",12537096,9989596,10,1,11,"Yes",11852573,9979760,8,0,6,"Yes",11466721,9985939,3,0,3,"Yes",11466721,9985939,3,0,3
"G4reth",75213626,8,63,0,"Yes",12530745,10030745,11,0,19,"Yes",12657830,10032830,10,0,13,"Yes",13512830,10032830,9,1,14,"Yes",12244086,10034086,8,0,10,"Yes",12843906,10156561,4,0,5,"Yes",11424229,10217666,3,0,2
"Patrick4",76564886,18,72,1,"Yes",12787710,10187710,12,0,20,"Yes",12453593,10203593,10,0,13,"Yes",13342553,10203803,9,1,15,"Yes",12132588,10206963,7,0,11,"Yes",13662121,10206963,5,0,8,"Yes",12186321,10211945,4,0,5
"Avatany",56453724,10,24,0,"No",3388325,1788325,6,0,10,"Yes",9798695,9673695,4,0,1,"Yes",10250820,9675820,5,1,4,"Yes",10481149,9768180,3,0,3,"Yes",11248962,9768180,3,0,3,"Yes",11285773,9804991,2,0,3
"Tyrian",56270896,25,41,0,"Yes",9479472,8179472,8,0,13,"Yes",9309671,8184671,9,0,8,"Yes",9845232,8408982,7,1,8,"Yes",9819339,8413714,7,0,8,"Yes",8907829,8414235,1,0,2,"Yes",8909353,8415759,2,0,2
"JediAhsoka",61302969,21,46,0,"Yes",9862091,8462091,7,0,14,"Yes",9475286,8475286,5,1,7,"Yes",9932182,8658432,4,1,7,"Yes",10455439,8785751,4,0,8,"Yes",10760173,8785797,3,0,5,"Yes",10817798,8843422,3,0,5
"Yosh",61728088,12,24,0,"Yes",9693008,9293008,2,0,4,"Yes",10045761,9295761,8,0,5,"Yes",11379830,9514830,6,0,8,"Yes",10582103,9517728,4,0,6,"Yes",9517870,9517870,1,0,0,"Yes",10509516,9522328,1,0,1
"Tani Mayse",68373329,7,44,0,"Yes",12104741,9804741,13,0,17,"Yes",11431334,9806334,11,0,8,"Yes",11255362,9819112,9,1,8,"Yes",11165827,9995827,8,0,7,"Yes",11423647,9997709,5,0,3,"Yes",10992418,10005230,3,0,1
"non7top",65947572,16,48,0,"Yes",11873752,9473752,11,0,18,"Yes",10986908,9486908,10,0,10,"Yes",11423158,9486908,8,1,11,"Yes",10656908,9486908,8,0,7,"Yes",10474096,9486908,1,0,1,"Yes",10532750,9545562,2,0,1
"OwningXylophone",73797175,20,59,0,"Yes",12411136,10111136,11,0,17,"Yes",12116451,10116451,10,0,12,"Yes",13082449,10193699,9,1,14,"Yes",12531645,10195707,6,0,9,"Yes",12177845,10203469,4,0,5,"Yes",11477649,10271086,3,0,2
"BobbyMarshal",68685050,20,53,0,"Yes",11306688,9006688,11,0,17,"Yes",10707163,8957163,9,0,9,"Yes",11478768,9451268,8,1,9,"Yes",12208364,9474301,7,0,11,"Yes",11955372,9487402,4,0,4,"Yes",11028695,9547913,3,0,3
"DarthDax",73656306,42,76,0,"Yes",13470408,10970408,13,0,19,"Yes",14100700,10975700,12,0,17,"Yes",14994871,11173621,11,1,16,"Yes",14104929,11181960,9,0,13,"Yes",13101547,11182015,4,0,5,"No",3883851,1690100,5,0,6
"Javin Fis",73137722,6,72,0,"Yes",12219183,9619183,11,0,20,"Yes",11869381,9619381,10,0,14,"Yes",12511934,9623184,9,1,14,"Yes",11715038,9693944,7,0,11,"Yes",13149102,9693944,5,0,8,"Yes",11673084,9698708,3,0,5
"Rhil Margos",62919217,21,49,0,"Yes",12190620,9690620,11,0,19,"No",4028157,2528157,8,0,8,"Yes",11640075,9700075,9,1,8,"Yes",11694763,9700075,8,0,7,"Yes",12168552,9700582,4,0,4,"Yes",11197050,9716268,2,0,3
"Tyron Brandt",82981192,13,73,0,"Yes",13921416,11221416,13,1,21,"Yes",14096416,11221416,11,0,15,"Yes",13753653,11222403,10,1,12,"Yes",13588163,11225819,9,0,10,"Yes",13693940,11225970,4,0,7,"Yes",13927604,11240259,6,0,8
"WharfRat",73902952,20,69,0,"Yes",12466867,9866867,13,0,20,"Yes",11627093,9877093,11,0,12,"Yes",13528238,9885738,10,1,15,"Yes",12589907,9886313,9,0,12,"Yes",12089812,9896061,6,0,6,"Yes",11601035,9900878,4,0,4
